chr	start_gene	end_gene	strand_gene	gene_name	ensembl_id	gene_type
chr19	35414881	35415149	-	RN7SL491P	ENSG00000264400	misc_RNA
chr15	27621534	27629289	+	ENSG00000258594	ENSG00000258594	lncRNA
chr2	95477008	95484754	-	TRIM43B	ENSG00000144010	protein_coding
chr15	96354237	96405235	+	ENSG00000259275	ENSG00000259275	lncRNA
chr16	27313668	27364778	+	IL4R	ENSG00000077238	protein_coding
chr6	128928995	128929988	-	MESTP1	ENSG00000220884	processed_pseudogene
chrX	143197248	143197591	-	RN7SKP149	ENSG00000199878	misc_RNA
chr1	22028317	22052927	-	CDC42-AS1	ENSG00000285752	lncRNA
chr19	45079288	45305284	+	MARK4	ENSG00000007047	protein_coding
chr19	15571762	15573650	+	ENSG00000290595	ENSG00000290595	lncRNA
chr19	53734877	53734963	+	MIR518D	ENSG00000283330	miRNA
chr6	122745280	122745529	+	RN7SL564P	ENSG00000240606	misc_RNA
chr3	101457241	101457732	-	BTF3P16	ENSG00000282978	processed_pseudogene
chr1	157925065	157929862	+	ENSG00000236957	ENSG00000236957	transcribed_unprocessed_pseudogene
chr5	180826871	180831621	-	HEIH	ENSG00000278970	lncRNA
chrY	2609415	2623453	+	CD99P1	ENSG00000292361	transcribed_unprocessed_pseudogene
chr15	90233808	90245811	+	GDPGP1	ENSG00000183208	protein_coding
chr3	39338129	39338879	-	CENPPP1	ENSG00000238267	processed_pseudogene
chr1	93866284	93879918	-	DNTTIP2	ENSG00000067334	protein_coding
chr20	3686970	3712600	-	SIGLEC1	ENSG00000088827	protein_coding
chr17	36161607	36162926	+	ENSG00000282738	ENSG00000282738	unprocessed_pseudogene
chr17	76202644	76202796	-	ATP5MGP6	ENSG00000267376	processed_pseudogene
chr4	158671968	158710742	+	ETFDH	ENSG00000171503	protein_coding
chr11	23370116	23377644	-	ENSG00000271491	ENSG00000271491	processed_pseudogene
chrX	153447668	153495516	-	HAUS7	ENSG00000213397	protein_coding
chr17	48881122	48881316	+	ENSG00000248895	ENSG00000248895	processed_pseudogene
chr6	136545192	136545492	+	RN7SKP299	ENSG00000271765	misc_RNA
chr11	134563396	134573056	+	ENSG00000254573	ENSG00000254573	lncRNA
chr17	4583999	4608319	+	SMTNL2	ENSG00000188176	protein_coding
chrY	13234577	13480673	-	UTY	ENSG00000183878	protein_coding
chr10	88879734	88975153	+	STAMBPL1	ENSG00000138134	protein_coding
chr8	38600661	38601200	-	RNF5P1	ENSG00000253570	processed_pseudogene
chr1	161364221	161364751	+	ENSG00000289106	ENSG00000289106	lncRNA
chr22	25561117	25564719	-	GRK3-AS1	ENSG00000234884	lncRNA
chr5	43287601	43290839	+	ENSG00000261604	ENSG00000261604	lncRNA
chrY	8906224	8916073	+	ENSG00000173357	ENSG00000173357	transcribed_unprocessed_pseudogene
chr5	69167135	69178245	+	CCNB1	ENSG00000134057	protein_coding
chr15	96230897	96231145	+	ENSG00000278146	ENSG00000278146	lncRNA
chr10	88990045	88994249	-	ENSG00000286116	ENSG00000286116	lncRNA
chr19	248551	251571	-	ENSG00000282393	ENSG00000282393	lncRNA
chr7	100352360	100353692	+	PVRIG2P	ENSG00000235333	transcribed_unprocessed_pseudogene
chr19	17292131	17310236	-	ABHD8	ENSG00000127220	protein_coding
chr6	28010723	28012355	+	IQCB2P	ENSG00000217539	processed_pseudogene
chr9	35673928	35681159	+	CA9	ENSG00000107159	protein_coding
chr14	98068161	98205143	-	ENSG00000259097	ENSG00000259097	lncRNA
chr9	93121496	93134251	-	NINJ1	ENSG00000131669	protein_coding
chr13	105459815	105460015	+	ENSG00000275968	ENSG00000275968	misc_RNA
chr18	75103587	75106260	-	ENSG00000278911	ENSG00000278911	lncRNA
chr22	37876148	37895563	+	ENSG00000279738	ENSG00000279738	lncRNA
chr15	57990217	57990636	-	ENSG00000274719	ENSG00000274719	lncRNA
chr17	18439985	18442734	+	KRT16P1	ENSG00000214856	transcribed_unprocessed_pseudogene
chr3	188947214	189325304	+	TPRG1	ENSG00000188001	protein_coding
chr2	140683360	140683888	-	COPRSP1	ENSG00000236440	processed_pseudogene
chr12	25092715	25093900	-	CENPUP2	ENSG00000258546	processed_pseudogene
chr4	425435	474129	-	ABCA11P	ENSG00000251595	transcribed_processed_pseudogene
chr15	22480439	22484840	-	HERC2P7	ENSG00000281909	unprocessed_pseudogene
chrY	15547216	15593331	+	STSP1	ENSG00000227166	unprocessed_pseudogene
chr17	75880335	75896951	-	TRIM65	ENSG00000141569	protein_coding
chr19	1065923	1086628	+	ARHGAP45	ENSG00000180448	protein_coding
chr5	136975298	137598379	-	SPOCK1	ENSG00000152377	protein_coding
chr3	45903187	45903298	+	Y_RNA	ENSG00000201635	misc_RNA
chr12	10937408	11171573	-	TAS2R14	ENSG00000212127	protein_coding
chr3	49252129	49252264	-	GCSHP6	ENSG00000270538	processed_pseudogene
chr2	36513255	36513732	-	ENSG00000273090	ENSG00000273090	lncRNA
chr12	39447404	39448314	+	ENSG00000286576	ENSG00000286576	lncRNA
chr8	32440704	32448803	+	NRG1-IT3	ENSG00000254049	lncRNA
chr5	112876385	112922289	-	REEP5	ENSG00000129625	protein_coding
chr2	100562993	100576739	+	PDCL3	ENSG00000115539	protein_coding
chr13	24703556	24703665	-	RNY1P7	ENSG00000207474	misc_RNA
chr2	11836933	11836986	-	MIR4262	ENSG00000265172	miRNA
chr11	65695552	65695837	+	RN7SL309P	ENSG00000239356	misc_RNA
chr9	21967752	21995301	-	CDKN2A	ENSG00000147889	protein_coding
chr9	136375567	136400176	-	SNAPC4	ENSG00000165684	protein_coding
chr11	95698086	95700623	+	ENSG00000255605	ENSG00000255605	lncRNA
chr18	52283909	52309224	+	ENSG00000285695	ENSG00000285695	lncRNA
chr16	68450283	68452318	+	ENSG00000274698	ENSG00000274698	lncRNA
chr22	22919535	22919851	+	IGLC6	ENSG00000222037	IG_C_pseudogene
chr4	78551747	78610451	+	ANXA3	ENSG00000138772	protein_coding
chr16	35169692	35170241	-	UBE2MP1	ENSG00000261461	processed_pseudogene
chr3	8931506	8931631	+	ENSG00000199815	ENSG00000199815	snoRNA
chr13	48316863	48320475	-	PPP1R26P1	ENSG00000238086	processed_pseudogene
chr22	35066136	35087387	+	ISX	ENSG00000175329	protein_coding
chr19	47487638	47489519	-	ENSG00000279861	ENSG00000279861	TEC
chr6	28378955	28399747	-	ZSCAN12	ENSG00000158691	protein_coding
chr13	50044649	50044768	+	ENSG00000277913	ENSG00000277913	misc_RNA
chr15	45705078	45931069	+	ENSG00000259200	ENSG00000259200	lncRNA
chr3	186596976	186597200	+	PET100P1	ENSG00000283390	processed_pseudogene
chrX	51162864	51163677	+	ENSG00000237926	ENSG00000237926	unprocessed_pseudogene
chr16	84495599	84497495	+	ENSG00000261243	ENSG00000261243	lncRNA
chr8	125951861	125952314	-	SOD1P3	ENSG00000253651	processed_pseudogene
chr8	14853438	14853510	-	MIR383	ENSG00000199127	miRNA
chr17	79919310	79926018	+	LINC01978	ENSG00000262188	lncRNA
chr17	42980565	42995142	+	RUNDC1	ENSG00000198863	protein_coding
chr16	88234785	88302511	+	ENSG00000261273	ENSG00000261273	lncRNA
chr3	157543246	157677749	+	SLC66A1L	ENSG00000174899	transcribed_unitary_pseudogene
chr18	13239543	13242076	+	C18orf15	ENSG00000279020	TEC
chr15	44697333	44697430	-	Y_RNA	ENSG00000206957	misc_RNA
chr19	1321225	1322846	+	ENSG00000267372	ENSG00000267372	lncRNA
chr7	130668852	130669395	+	ENSG00000287547	ENSG00000287547	lncRNA
chr5	80315671	80315826	+	ENSG00000244076	ENSG00000244076	processed_pseudogene
chr20	31535263	31535626	+	ENSG00000274364	ENSG00000274364	lncRNA
chr10	17951839	18043292	+	SLC39A12	ENSG00000148482	protein_coding
chr10	119958513	119958592	+	MIR4682	ENSG00000265370	miRNA
chr5	26670334	26670481	-	ENSG00000250703	ENSG00000250703	processed_pseudogene
chr17	8079482	8081565	+	ENSG00000214999	ENSG00000214999	lncRNA
chr7	96330638	96330744	+	RNU6-532P	ENSG00000207045	snRNA
chr17	40058290	40093867	+	THRA	ENSG00000126351	protein_coding
chr15	52109263	52112775	-	BCL2L10	ENSG00000137875	protein_coding
chr1	247187281	247188526	-	ENSG00000259865	ENSG00000259865	lncRNA
chr10	18735745	18738631	+	AIFM1P1	ENSG00000225509	processed_pseudogene
chr8	26433029	26434065	-	DNAJB6P2	ENSG00000251203	processed_pseudogene
chr15	27280318	27280436	-	RNA5SP391	ENSG00000200326	rRNA_pseudogene
chr3	164714095	164831480	-	LINC01324	ENSG00000241767	lncRNA
chr3	152650478	152679450	+	ENSG00000287706	ENSG00000287706	lncRNA
chr16	33098808	33109465	-	ENSG00000290986	ENSG00000290986	lncRNA
chr10	13217269	13217375	+	RNU6-6P	ENSG00000272055	snRNA
chr16	49847018	49847632	-	ENSG00000275155	ENSG00000275155	lncRNA
chr15	71147650	71189064	-	THSD4-AS1	ENSG00000259964	lncRNA
chr18	10627646	10628846	-	ENSG00000264072	ENSG00000264072	lncRNA
chr10	93510548	93510680	-	RNA5SP323	ENSG00000212396	rRNA_pseudogene
chr3	154334943	154430190	-	GPR149	ENSG00000174948	protein_coding
chr14	77131270	77142734	-	ZDHHC22	ENSG00000177108	protein_coding
